Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,97.0,1.0,97.0,97.0,0.1,-3600.6564756632506,0.0,0.0,0.004935741424560547,,,,,,,,,,,,,,,,,,,,,-1588.8502213278168,1201.972594482505,0.01784781294854947,-3453.441433620264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,197.0,2.0,100.0,197.0,0.1,-3230.425892697068,0.0,0.0,8.93172812461853,,,,,,,,,,,,,,,,,,,,,-1125.1815107505472,1059.6136845248975,0.030539463704177348,-3124.152923315728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,230.0,3.0,33.0,230.0,0.1,-280.91670531988154,0.0,0.0,12.180694341659546,,,,,,,,,,,,,,,,,,,,,-46.79596597928094,87.1292426155978,7.756199003019425,-279.93202255565376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,263.0,4.0,33.0,263.0,0.1,-30.37994067298028,0.0,0.0,15.712093114852905,,,,,,,,,,,,,,,,,,,,,-25.315065018482557,14.414185724642502,0.006979034965020993,-40.52580926956526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,297.0,5.0,34.0,297.0,0.1,-1497.3879725815777,0.0,0.0,19.079514980316162,,,,,,,,,,,,,,,,,,,,,-540.5775583122589,502.18924448843813,0.008964083874125915,-1481.970795218603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,332.0,6.0,35.0,332.0,0.1,-3115.5106390509386,0.0,0.0,22.47076106071472,,,,,,,,,,,,,,,,,,,,,-1190.902276037233,1080.8479638888232,0.008964083874125915,-3079.985951306298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,373.0,7.0,41.0,373.0,0.1,-7612.860867422193,0.0,0.0,26.513324975967407,,,,,,,,,,,,,,,,,,,,,-3219.2306726048773,2571.5795242346385,0.007972055930055972,-7495.8566272432545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,421.0,8.0,48.0,421.0,0.1,-7391.733205740101,0.0,0.0,30.993544340133667,,,,,,,,,,,,,,,,,,,,,-2632.6234071679933,2508.1322073871925,0.014895453637998,-7279.919841960122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,451.0,9.0,30.0,451.0,0.1,-5321.76037974339,0.0,0.0,34.17045474052429,,,,,,,,,,,,,,,,,,,,,-2226.5684595612283,1849.772642415514,0.006979034965020993,-5265.489038544606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,486.0,10.0,35.0,486.0,0.1,-5543.997159215219,0.0,0.0,37.5684118270874,,,,,,,,,,,,,,,,,,,,,-2266.8716479818922,1927.5543563716178,0.008964083874125915,-5475.602380694862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,541.0,11.0,55.0,541.0,0.1,-4176.063929098274,0.0,0.0,42.67692422866821,,,,,,,,,,,,,,,,,,,,,-1186.411125971729,1373.382126255984,0.0227487621785483,-4119.045288701949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,600.0,12.0,59.0,600.0,0.1,-9343.149668752281,0.0,0.0,48.117690324783325,,,,,,,,,,,,,,,,,,,,,-4039.9833908583205,3184.657708986636,0.012922285286285284,-9123.027580825708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,717.0,13.0,117.0,717.0,0.1,-25978.080511482134,0.0,0.0,58.44540596008301,,,,,,,,,,,,,,,,,,,,,-11642.466781480713,7766.195348047721,0.008964083874125915,-24665.217668167563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,832.0,14.0,115.0,832.0,0.1,-16586.918509665138,0.0,0.0,68.77427840232849,,,,,,,,,,,,,,,,,,,,,-7191.448082711073,4315.737668775576,0.007972055930055972,-15791.46912693812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,935.0,15.0,103.0,935.0,0.1,-15877.809303756549,0.0,0.0,77.92017841339111,,,,,,,,,,,,,,,,,,,,,-7209.801580488864,4745.507491312154,0.007972055930055972,-15165.51560666392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1012.0,16.0,77.0,1012.0,0.1,-8968.113924359395,0.0,0.0,84.88731050491333,,,,,,,,,,,,,,,,,,,,,-3460.395581813714,2848.1545483782484,0.007972055930055972,-8719.092931329464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1053.0,17.0,41.0,1053.0,0.1,-1163.202565591579,0.0,0.0,88.80581498146057,,,,,,,,,,,,,,,,,,,,,-352.76062864983896,387.922116733568,0.006979034965020993,-1151.040309395417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1128.0,18.0,75.0,1128.0,0.1,-1848.281428838013,0.0,0.0,95.81028914451599,,,,,,,,,,,,,,,,,,,,,-787.6911669336139,611.0914487521454,3.899821655295498,-1792.7883752801768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1229.0,19.0,101.0,1229.0,0.1,-2735.4333130519303,0.0,0.0,104.81381893157959,,,,,,,,,,,,,,,,,,,,,-900.937186370292,842.594559765207,0.005985019985005999,-2649.7354784499585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1265.0,20.0,36.0,1265.0,0.1,-566.5690500262954,0.0,0.0,108.34732842445374,,,,,,,,,,,,,,,,,,,,,-159.9427059056309,183.93804291270655,0.00995511979025179,-561.9344195183095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,52.0,1.0,52.0,1317.0,0.1,-1127.9583508750466,0.0,0.0,226.57256507873535,,,,,,,,,,,,,,,,,,,,,-390.7002971457797,378.13075356284224,0.9891833059541009,-1109.8605466562326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,86.0,2.0,34.0,1351.0,0.1,-441.29877608873613,0.0,0.0,229.9260482788086,,,,,,,,,,,,,,,,,,,,,-104.84809518919029,142.00106256370736,0.007972055930055972,-438.6107236889576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,128.0,3.0,42.0,1393.0,0.1,-792.6474890591336,0.0,0.0,233.93695950508118,,,,,,,,,,,,,,,,,,,,,-239.7146927793246,261.31698787518025,0.008964083874125915,-784.146981778978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,155.0,4.0,27.0,1420.0,0.1,-173.20940048183593,0.0,0.0,236.66135811805725,,,,,,,,,,,,,,,,,,,,,-101.64090000810123,73.87200189630464,0.006979034965020993,-180.8355277412791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,213.0,5.0,58.0,1478.0,0.1,-4150.9835656873665,0.0,0.0,242.10914969444275,,,,,,,,,,,,,,,,,,,,,-1847.9172679121336,1344.0532974565738,0.006979034965020993,-4051.9041204853147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,252.0,6.0,39.0,1517.0,0.1,-3216.1087158030655,0.0,0.0,246.11119651794434,,,,,,,,,,,,,,,,,,,,,-1167.4604927827638,1118.6683824657462,0.011934219505791075,-3176.9284365291633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,282.0,7.0,30.0,1547.0,0.1,-4267.547157811672,0.0,0.0,249.1233627796173,,,,,,,,,,,,,,,,,,,,,-1636.5798655443264,1475.8602164816753,0.007972055930055972,-4226.899333613237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,316.0,8.0,34.0,1581.0,0.1,-6023.083277762271,0.0,0.0,252.42753744125366,,,,,,,,,,,,,,,,,,,,,-2440.522677686671,2038.0250908728833,0.006979034965020993,-5952.003561841046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,349.0,9.0,33.0,1614.0,0.1,-5824.902292690018,0.0,0.0,255.66584062576294,,,,,,,,,,,,,,,,,,,,,-2403.5846750943383,2018.0446592029455,0.007972055930055972,-5757.092426171825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,414.0,10.0,65.0,1679.0,0.1,-10958.39012485014,0.0,0.0,261.8433916568756,,,,,,,,,,,,,,,,,,,,,-5031.877432742279,3344.882848312731,0.006979034965020993,-10652.612664438107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,479.0,11.0,65.0,1744.0,0.1,-9252.679086631815,0.0,0.0,267.91049432754517,,,,,,,,,,,,,,,,,,,,,-4223.817851772023,2931.433961287407,0.008964083874125915,-8996.114158469418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,523.0,12.0,44.0,1788.0,0.1,-4667.1093657497995,0.0,0.0,272.0870099067688,,,,,,,,,,,,,,,,,,,,,-1653.2658051515498,1600.4932877619954,0.013909363000998999,-4603.568203161253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,549.0,13.0,26.0,1814.0,0.1,-4034.1427229299034,0.0,0.0,274.7613637447357,,,,,,,,,,,,,,,,,,,,,-1564.4192191693487,1412.4568781039025,0.006979034965020993,-4001.4667552752976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,587.0,14.0,38.0,1852.0,0.1,-5545.675182845919,0.0,0.0,278.4652318954468,,,,,,,,,,,,,,,,,,,,,-1873.072451505139,1904.101529094148,0.012922285286285284,-5485.463871968791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,622.0,15.0,35.0,1887.0,0.1,-5363.130199259051,0.0,0.0,282.1723642349243,,,,,,,,,,,,,,,,,,,,,-2339.729120563897,1808.6069272666834,0.006979034965020993,-5291.818024269831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
