Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,77.0,1.0,77.0,77.0,0.1,33.40600000000003,0.0,0.0,0.0051763057708740234,,,,,,,,,,,,,,,,,,,,,12.592393582993186,9.262118617565248,32.501355904562764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,121.0,2.0,44.0,121.0,0.1,13.908999999999988,0.0,0.0,4.27094841003418,,,,,,,,,,,,,,,,,,,,,3.2543524214798722,4.160296196670907,13.793381462999424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,172.0,3.0,51.0,172.0,0.1,21.713000000000033,0.0,0.0,9.13364291191101,,,,,,,,,,,,,,,,,,,,,5.6489609189827705,6.977070670009827,21.467817159633988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,214.0,4.0,42.0,214.0,0.1,17.10600000000002,0.0,0.0,13.452542781829834,,,,,,,,,,,,,,,,,,,,,4.615498389675251,5.42225156916071,16.94602416994937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,263.0,5.0,49.0,263.0,0.1,23.911000000000026,0.0,0.0,18.191218614578247,,,,,,,,,,,,,,,,,,,,,6.928311701412463,7.8588145980335415,23.61872656102628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,314.0,6.0,51.0,314.0,0.1,27.60400000000002,0.0,0.0,22.986151695251465,,,,,,,,,,,,,,,,,,,,,10.478912848248571,8.159179798449687,27.123795912768944,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,339.0,7.0,25.0,339.0,0.1,11.504999999999995,0.0,0.0,25.56192374229431,,,,,,,,,,,,,,,,,,,,,3.607926660814512,3.9475878937181874,11.437665727268447,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,383.0,8.0,44.0,383.0,0.1,27.30700000000002,0.0,0.0,29.772999048233032,,,,,,,,,,,,,,,,,,,,,9.435868001431952,9.332911593156645,26.945686234720206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,408.0,9.0,25.0,408.0,0.1,10.605999999999995,0.0,0.0,32.62077713012695,,,,,,,,,,,,,,,,,,,,,3.0685974993155174,3.653366121754919,10.550375262667185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,454.0,10.0,46.0,454.0,0.1,18.81000000000003,0.0,0.0,36.97778916358948,,,,,,,,,,,,,,,,,,,,,4.937044387503713,5.994268319513942,18.62011757320367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,502.0,11.0,48.0,502.0,0.1,35.104,0.0,0.0,41.51749277114868,,,,,,,,,,,,,,,,,,,,,13.897619318201158,11.709000083767345,34.50589154993466,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,562.0,12.0,60.0,562.0,0.1,37.206999999999994,0.0,0.0,47.13326025009155,,,,,,,,,,,,,,,,,,,,,13.970355408321693,11.787597729372191,36.441625484844906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,626.0,13.0,64.0,626.0,0.1,36.907,0.0,0.0,53.10321664810181,,,,,,,,,,,,,,,,,,,,,13.739631648240682,11.202642149655341,36.09982712894336,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,653.0,14.0,27.0,653.0,0.1,13.505999999999995,0.0,0.0,56.13463091850281,,,,,,,,,,,,,,,,,,,,,4.262159716648118,4.7131253695603545,13.417743757421588,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,679.0,15.0,26.0,679.0,0.1,11.105999999999995,0.0,0.0,58.83667302131653,,,,,,,,,,,,,,,,,,,,,3.240987025010736,3.7936717307964445,11.043810915369546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,707.0,16.0,28.0,707.0,0.1,12.205999999999994,0.0,0.0,61.769442558288574,,,,,,,,,,,,,,,,,,,,,3.552475177916659,4.144059881009181,12.130780124487186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,735.0,17.0,28.0,735.0,0.1,13.604999999999995,0.0,0.0,64.66194748878479,,,,,,,,,,,,,,,,,,,,,4.296146753456706,4.648371215644002,13.511717814815032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,853.0,18.0,118.0,853.0,0.1,71.20600000000002,0.0,0.0,75.38114619255066,,,,,,,,,,,,,,,,,,,,,30.054731432648488,19.38643929246498,67.79506402393129,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,891.0,19.0,38.0,891.0,0.1,22.606000000000016,0.0,0.0,79.09536862373352,,,,,,,,,,,,,,,,,,,,,7.764284119738888,7.717544555287296,22.35564614008395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
