Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,112.0,1.0,112.0,112.0,0.1,69.10699999999997,0.0,0.0,0.004557371139526367,,,,,,,,,,,,,,,,,,,,,27.93374645807516,20.4512888857388,66.11057543699415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,228.0,2.0,116.0,228.0,0.1,34.51700000000008,0.0,0.0,10.199334859848022,,,,,,,,,,,,,,,,,,,,,10.294860922643132,8.036609741780422,33.38954182708575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,262.0,3.0,34.0,262.0,0.1,14.306999999999993,0.0,0.0,13.500049591064453,,,,,,,,,,,,,,,,,,,,,4.107405792722021,4.679302144771714,14.195725458238472,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,303.0,4.0,41.0,303.0,0.1,22.80700000000002,0.0,0.0,17.403024673461914,,,,,,,,,,,,,,,,,,,,,7.358214583527708,7.732169497680949,22.550391434553035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,401.0,5.0,98.0,401.0,0.1,50.906000000000034,0.0,0.0,26.10120439529419,,,,,,,,,,,,,,,,,,,,,16.2069901404954,14.88537136676121,49.41649854682658,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,443.0,6.0,42.0,443.0,0.1,16.90800000000002,0.0,0.0,30.282874822616577,,,,,,,,,,,,,,,,,,,,,4.450996749940162,5.3986467763587145,16.754550482917868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,495.0,7.0,52.0,495.0,0.1,11.917999999999983,0.0,0.0,35.06691098213196,,,,,,,,,,,,,,,,,,,,,2.3147273436075633,3.323277927449037,11.821264886640806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,526.0,8.0,31.0,526.0,0.1,14.206999999999994,0.0,0.0,38.15835475921631,,,,,,,,,,,,,,,,,,,,,4.151509687248785,4.829176790585995,14.106502097387969,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,557.0,9.0,31.0,557.0,0.1,14.705999999999994,0.0,0.0,41.224058628082275,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,597.0,10.0,40.0,597.0,0.1,23.006000000000014,0.0,0.0,44.990941524505615,,,,,,,,,,,,,,,,,,,,,8.278976186963643,7.539771684998468,22.720258749762237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,634.0,11.0,37.0,634.0,0.1,19.20700000000002,0.0,0.0,48.74587059020996,,,,,,,,,,,,,,,,,,,,,6.014690566662918,6.490011844615514,19.02248239133375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,661.0,12.0,27.0,661.0,0.1,11.606999999999994,0.0,0.0,51.42527365684509,,,,,,,,,,,,,,,,,,,,,3.3062916464050174,3.986494979693841,11.540800185117115,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,692.0,13.0,31.0,692.0,0.1,14.705999999999994,0.0,0.0,54.511358976364136,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,746.0,14.0,54.0,746.0,0.1,39.50599999999999,0.0,0.0,59.543418645858765,,,,,,,,,,,,,,,,,,,,,15.473237807993833,13.126567996269191,38.7479022148959,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,812.0,15.0,66.0,812.0,0.1,42.608,0.0,0.0,65.6959125995636,,,,,,,,,,,,,,,,,,,,,14.813774521106971,14.118627990427983,41.71367652097237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,907.0,16.0,95.0,907.0,0.1,54.011,0.0,0.0,74.37762904167175,,,,,,,,,,,,,,,,,,,,,17.968718396498247,16.958092988157276,52.4087368172303,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,957.0,17.0,50.0,957.0,0.1,23.207000000000026,0.0,0.0,79.0729820728302,,,,,,,,,,,,,,,,,,,,,6.975236214576902,7.337549700993668,22.904023331911645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,986.0,18.0,29.0,986.0,0.1,13.106999999999994,0.0,0.0,81.94714188575745,,,,,,,,,,,,,,,,,,,,,3.838714076586501,4.479769378904813,13.021707685442193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1021.0,19.0,35.0,1021.0,0.1,12.810999999999991,0.0,0.0,85.33429789543152,,,,,,,,,,,,,,,,,,,,,3.1612308553296105,4.166484349780036,12.72579578583936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1058.0,20.0,37.0,1058.0,0.1,23.205000000000016,0.0,0.0,89.09179878234863,,,,,,,,,,,,,,,,,,,,,8.27068609498515,7.9878167208867685,22.94485137237894,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
